ID,Title,Content,Context,Links
15,Lor Mee,"For Lor Mee, try: Hai Beng Kopi Tiam (next to Kuan Im Teng) No.32, Lebuh Masjid Kapitan Keling (Pitt Street), 10200 Pg 8.00 am to 4.00 pmFor lor mee cravings, visit Hai Beng Kopi Tiam (next to Kuan Im Teng) at No.32, Lebuh Masjid Kapitan Keling (Pitt Street, 10200 Pg), open 8am-4pm. Lean Thye Kopi Tiam (No.4, Lebuh Ah Quee, 10300 Pg) serves lor mee 7am-11am (closed Sundays). Bee Hooi Coffee Shop (No.415, Jalan Burma, 10350 Pg) offers lor mee during morning and night hours only. Ah Joo Lor Mee (No.6-A, Lorong Selamat, 10400 Pg) is open 7:45am-2:30pm (closed Saturdays). Finally, Kim Leng Lor Mee is available at Joo Huat Kopi Tiam (near Perak Road Market) at No.336-G1, Lintang Slim (off Jalan Perak, 11600 Pg) from 7am-4pm (closed Thursdays).",Yap Guan Chiang Penang,
16,"Pasembur (Chneah Hoo)","Explore Penang's Pasembur scene at Cecil Street Market Food Court (No.40-48, Cecil Street, 10300 Pg) from 10:30am-4:30pm, Batu Lanchang Market Food Court (Stall No.31) at No.25, Lintang Batu Lanchang (10100 Pg) from 12:30-6:30pm, or Genting Kopi Tiam at Island Glades (Lorong Delima 3, Island Glades, 11700 Pg) for a morning option (7am-4pm, closed Wednesdays).",Yap Guan Chiang Penang,
17,"Koay Teow Thng (KTT)","Penang Koay Teow Thng lovers rejoice! Here's your guide: Hutton Lane area boasts gems like Kafe Evergreen (near Eden), Fook Cheow (Amoy Lane/Hutton Lane, near New World Park), Larut Cafe (Bawasah Rd/Larut Rd), and Ah Boy's push cart (Clarke St, off Hutton Lane, opposite Caltex station) - all open mornings only. For duck meat Koay Teow Thng, try 113 Duck Meat (Lebuh Melayu, 10300 Pg, 7am-2:30pm), Lum Lai (Cecil Street Market Food Court, closed Wednesdays) or Loh Kei (Pulau Tikus Market Night Hawkers). Pitt Street Koay Teow Thng (Carnavon Street, 10100 Pg, closed Mondays) offers minced pork Koay Teow Thng (formerly on Pitt St). Evenings are perfect for Sky Emperor Chicken Feet Koay Teow Thng (Kimberley Street, closed Wednesdays) or Penang State Chinese Association (Jalan Perak, closed Thursdays). Early risers can grab Koay Teow Thng from pushcarts at Hutton Lane (mornings only) or Lorong Nga Aboo (closed Wednesdays).",Yap Guan Chiang Penang,
18,Curry Mee,"Curry mee fans, this is for you! Satisfy your cravings at Ah Ban Curry Mee (@ Timesway Kopi Tiam, Kuantan Rd Market) at No.177, Jalan Dato Keramat (10150 Pg) from 7am-10am. Alternatively, try his brothers' stalls: Genting Kopi Tiam (Lorong Delima 3, Island Glades, 11700 Pg, closed Wednesdays) open 7am-4pm and The Shark Food Court (No.192, Jalan Burma, 10350 Pg, closed Mondays) open 7:30am-12pm. For evening options, head to Chulia Street Night Hawkers (No.1, Lebuh Carnavon, 10200 Pg) from 4:30-10:30pm. Cecil Street Market Food Court (No.40-48, Lorong Cecil, 10300 Pg) offers curry mee 12-4pm. Lorong Seratus Tahun Curry Mee (No.34, Lorong Seratus Tahun, 10400 Pg) is open 7:30am-2:30pm (closed Thursdays). Night owls can visit Old Green House (No.223, Jalan Burma, 10050 Pg) from 6pm-11:45pm (closed Sundays). Early risers have options too: Xen Teck Kopi Tiam (No.56-A, Weld Quay, 10300 Pg, closed Mondays) opens 7-10:30am and Bamboo Kopi Tiam (No.570, Jalan Jelutong, 11600 Pg) from 7am-12pm.",Yap Guan Chiang Penang,
19,"Chee Cheong Fun (CCF)","Chee Cheong Fun lovers, explore these options: Seow Fong Lye (No.94-C, Lorong Macalister, 10400 Pg) from 7:30am-12:30pm. For a chee cheong fun and coffee fix, head to Soon Yuen Kopi Tiam (Jalan Kuala Kangsar, 10200 Pg) from 6am-12pm (closed Wednesdays). Genting Kopi Tiam (Lorong Delima 3, Island Glades, 11700 Pg, closed Wednesdays) offers a unique Chee Cheong Fun version with hae ko (black prawn paste) and peanut butter, open 7am-4pm. The Shark Food Court (No.192, Jalan Burma, 10350 Pg, closed Mondays) has chee cheong fun from 7:30am-12pm. Finally, Nirvana Cafetaria (No.156, Jalan Anson, 10400 Pg, closed Mondays) serves chee cheong fun alongside their HKM from 8am-2pm.",Yap Guan Chiang Penang,
20,"Char Koay Kark (CKK)","Craving Char Kuay Kak? Head to Timesway Kopi Tiam (No.177, Jalan Dato Keramat, 10150 Pg) at the Kuantan Rd Market for a morning fix (7am-11am) from the stall outside (kaki lima). For lunch options, try Stall No.33 at Batu Lanchang Market Food Court (No.25, Lintang Batu Lanchang, 11600 Pg) from 12pm-5pm. Stall No.42 there is another good option. Night owls can satisfy their Koay Kark cravings at Presgrave Street Night Hawkers (Presgrave Street, 10300 Pg) or the pushcart near Union Primary School (Jalan Burma, 10050 Pg).",Yap Guan Chiang Penang,
21,"Lam Mee (Birthday Noodles)","Lam Mee fans, rejoice! Head to Khoon Hiang Kopi Tiam (No. 358, Jalan Dato Keramat, 10150 Pg) for a morning fix (8-10:30am), formerly located at Lok Yen Kopi Tiam in Kuantan Rd Market. Jin Cafe (No.110, Jalan Siam, 10400 Pg) offers it as Fukui Mee, available until it sells out (usually by noon) but closed on Sundays. For options throughout the day, try MS Food Court (No.105, Jalan Macalister, 10400 Pg) from 7:30am-12pm (closed Sundays) or FoodHub by You&Me (No.4, Lintang Kampung Melayu, 11500 Ayer Itam, Pg) from 7:30am-10pm (closed Fridays).",Yap Guan Chiang Penang,
22,"Wan Tan Mee (WTM)","Wan Tan Mee enthusiasts, listen up! Ah Hock (No.22, Lebuh Melayu, 10300 Pg) offers theirs from noon-5pm (closed weekends). For earlier options, try Malabar Cafe (No.55, Kampong Malabar, 10200 Pg) from 8am-5pm (closed Sundays) or Sin Guat Keong Coffee Shop (No.86, Lebuh Kimberley, 10100 Pg) from 7:30am-12pm (get extra ""bak eu phok"" if you like it crispy!). Night owls can head to Chulia Street Night Hawkers (No.1, Lebuh Carnavon, 10200 Pg) from 4:30-10:30pm, Padang Brown Night Hawkers (Anson Road/Johore Road Night) or Pulau Tikus Market Night Hawkers (Jalan Pasar, 10350 Pg). The Shark Food Court (No.192, Jalan Burma, 10350 Pg) has it from 7:30am-12pm (closed Mondays). Finally, explore various kopitiams in Jelutong Market (Lorong Batu, Taman Jelutong, 11600 Pg) like Ah Cheng, 88 Cafe, or Lai Lai for their well-regarded Wan Tan Mee (mornings only), similar to Hutton Lane's reputation for KTT.",Yap Guan Chiang Penang,
23,"Mee Goreng / Mee Rebus","Mee Goreng and Mee Rebus lovers, this is for you! Craving seafood? Head to Hameed Pata Mee Sotong (No.5, Esplanade Park, Lebuh Light, 10300 Pg) from 11:30am-8pm (closed Sundays) at the Fort Cornwallis Food Court. For earlier options, try Sri Weld Food Court (Lebuh Pantai, Beach Street) from 8am-2:30pm (closed weekends). Swee Kong Kopi Tiam (No.317, Jalan Burma, 10350 Pg) offers theirs 5:30am-1pm (closed Thursdays). If noon suits you better, head to Rahim Mee Goreng (No.38-D & E, Jalan Air Itam, 11500 Pg) at En En Kopi Tiam (closed Thursdays), or Ali Mee Sotong (Jalan Hill Railway, 11500 Pg) from 1pm-7pm (opposite Klinik Kesihatan, Air Itam Roundabout).",Yap Guan Chiang Penang,
24,Lor Bak,"Lor Bak enthusiasts, here's your guide! Malabar Cafe (No.55, Kampong Malabar, 10200 Pg, closed Sundays) is a great option, open 8am-5pm. Kheng Pin Cafe (No.80, Jalan Penang, 10000 Pg) by the junction of Jalan Sri Bahari serves it from 7am-1:30pm (closed Mondays & Tuesdays) - they're family-run, just like Tang Huang Restaurant (No.56, Lorong Selamat, 10400 Pg), open noon-2:30pm and 5pm-10pm (closed Tuesdays). One Corner Cafe (No.4, Jalan Bawasah, 10050 Pg) is another family member, serving Lor Bak 7am-3pm (closed Saturdays). Finally, grab some Lor Bak alongside Tiger CKT at Ping Hooi Coffee Shop (No.179, Carnavon Street, 10100 Pg) from 7am-2pm.",Yap Guan Chiang Penang,
25,Roti Bakar & Kopi,"Roti bakar and kopi fiends, this is your Penang hit list! Start your day at Kong Thai Lai (No.32, Lebuh Dickens, 10050 Pg, formerly from Hutton Lane/Lebuh Leith) for their highly-rated homemade kaya, open 7:30am-3:30pm (closed Sundays). For a classic option, head to Oo White Coffee (No.262 & 264, Lebuh Carnavon, 10100 Pg) from 7am-5pm (closed Wednesdays), where their roti bakar complements their other delights like Loo's Beef Noodle Soup and O' Chien. Hotel Waterfall (No.29 & 31, Jalan Gottlieb, 10350 Pg) serves theirs all day (7am-9pm). Ah Wang Cafe (No.J-6, Jalan Tanjung Bungah, 10470 Tg Tokong, Pg) is open 11:30am-6pm (closed Thursdays) for a later brunch. Toh Soon (lane behind Ban Heang Biscuit Shop, Lebuh Campbell, 10450 Pg) offers theirs 8am-5pm (closed Sundays), while Eng Loh Kopi Tiam (No.48, Lebuh Gereja, 10200 Pg) is another great choice, open 7am-5pm (closed Sundays).",Yap Guan Chiang Penang,
26,O'Chien,"O'chien lovers, take note! You can find this tasty oyster omelette at: Keaton Seng Kopi Tiam (Choong Nam Night Hawkers) at No.10-J, Jalan Air Itam (night only), Oo White Coffee (open 7am-5pm Closed on Wednesdays) at No.262 & 264, Lebuh Carnavon, Bee Hooi Coffee Shop (night only) on Jalan Burma (No.415), and SKS Garden Food Centre (formerly Sin Kim Sun) at No.168, Jalan Macalister (night only, closed Mondays).",Yap Guan Chiang Penang,
27,Dim Sum,"Dim sum lovers, check out these restaurants: Hong Xing No.1 Dim Sum (10-A-07 & 08, Precinct 10, Jalan Tanjung Tokong Lama, 10470 Pg) from 8am-3pm, Maxim Dim Sum Pekaka (near USM) at No.2-G-7 to 12, Lebuh Pekaka 1, Taman Pekaka, 11700 Gelugor, Pg from 6:30am-1:45pm, Fu Er Dai (opposite 32 Mansion) at No.7, Jalan Sultan Ahmad Shah (Northam Road), 10050 Pg from 6:30am-2pm, and Restoran Zim Sum (No.62, Jalan Macalister, 10400 Pg) from 6:30am-1:30pm (closed Tuesdays).",Yap Guan Chiang Penang,
28,Satay,"Satay fans, rejoice! Head to Pulau Tikus Market Night Hawkers (Jalan Pasar, 10350 Pg) for pork satay (night only) with your choice of Hainanese sweet potato or peanut gravy, or try their classic Malay satay. Craving more options? Check out Satay Hamid (night only) along Jalan Seri Tanjung Pinang (roadside stall next to Desa Tanjung apartments on the right after turning from Island Plaza's traffic lights) or the Malay satay at Viva Food Court (Lot 303, Jalan C M Hashim, Tg Tokong, 10470 Pg), also open only at night.",Yap Guan Chiang Penang,
29,Seafood Porridge / Noodles,"Seafood porridge and noodle lovers, listen up! Craving fresh catches? Head to Ka-Bee (No.49, Weld Quay, 10300 Pg) near Chew Jetty for options from 11am-2:30pm and 5pm-10pm (closed Sundays). Village Fish Head Bee Hoon (No.107-A, Weld Quay, 10300 Pg) near the Multiple Surname Jetty offers their specialty bee hoon tom yum soup from 11:30am-11pm. For a taste of tradition, try Perak Lane Fish Head Noodles (No.6, Lorong Perak, 11600 Pg) from 4pm-10pm (closed Mondays). Lim Kee Famous Seafood Porridge (Food Court near Snake Temple, Jalan Tokong Ular, Bayan Lepas, 11900 Pg) serves theirs 4:30-10:30pm (closed Wednesdays). Evening options include Kedai Makanan Heng Leong (310-G-4, Jalan Perak, Taman Desa Green, 11600 Pg) from 5-9pm (closed Mondays) and Viva Food Court (Lot 303, Jalan C M Hashim, Tg Tokong, 10470 Pg) from 5pm-midnight (closed Wednesdays).",Yap Guan Chiang Penang,
30,"Porridge ('Chok"")","Chok enthusiasts, this is your guide! For a classic ""chee cheong chok"" (rice noodle rolls), head to Chok Kee Porridge Cafe (No.188, Lebuh Kimberley, 10200 Pg) from 8:30am-2:30pm, or Kedai Kopi Baru (No.1, Jalan Chowrasta, 10200 Pg) from 7am-1pm (closed Fridays). Kai chok options abound: try Sheng Yi Food Court (No.360, Cecil Street Ghaut, 10300 Pg) from 11am-8pm (closed Tuesdays), Cafe Yee Sung (No.36, Lebuh Cintra, 10200 Pg) from 12:30pm-8:30pm (closed Mondays), Yee Sang Kai Chok (No.223, Jalan Burma, 10050 Pg) from 4pm-midnight (closed Sundays), or Bak Moi / Bak Chok at SKS Garden Food Centre (No.168, Jalan Macalister, 10400 Pg) at night (closed Mondays). Tang Huang Restaurant (No.56, Lorong Selamat, 10400 Pg) offers theirs alongside Kg Malabar Lor Bak for lunch (12-2:30pm) and dinner (5-10pm, closed Tuesdays).",Yap Guan Chiang Penang,
31,Chicken Rice,"Chicken rice connoisseurs, listen up! Craving some Hainanese poached chicken with a kick? Head to Kheng Pin Cafe (No.80, Jalan Penang, 10000 Pg) from 11am till it sells out (usually by 2pm, closed Mondays & Tuesdays). Their specialty is poached, not roasted, chicken served with a delicious chili sauce for dipping. For a family recipe, try Foong's Hainan Chicken Rice (No.122-H, Jalan Hutton, 10050 Pg) from 10am-3pm (closed Fridays & Saturdays) - the owner's family runs the famous Sri Bahari Rd Hainanese Chicken Rice. If you're in Tanjung Tokong, Kokokay Chicken Rice (Kompleks Penjaja Desiran Tanjung, No.3, Jalan Seri Tanjung Pinang 1, 11200 Pg) is open 10am-1pm (closed Saturdays & Sundays), while Pak Hock Chicken Rice (No.167, Lebuh Carnavon, 10100 Pg) serves theirs from 10am-4pm.",Yap Guan Chiang Penang,
32,"Favourite Penang Island Eats: Kopi Tiam, Hawker Centres & Food Courts","This list provides recommendations for various food options across Penang Island, including Kopi Tiams (coffee shops), Hawker Centres (open-air food courts), and Food Courts. Locations are listed alphabetically.---Batu Lanchang Market Food Court (Afternoon) - Food Court * Recommendations: Stall #43 Char Koay Teow, Ah Kheng Nyonya Kuih, Pasembur, Stall #31 Popiah, Stall #76 Coffee & Sugar Cane Juice---Cecil Street Market Food Court (Morning-Evening) - Food Court * Recommendations: Pasembur, 850 Char Koay Teow, Koay Teow Thng, Crullers, Curry Mee (Cintra St), Cendol, Iced Lo Han Kor---Choong Nam Night Hawkers (aka Reservoir Garden Hawker Arcade) (Night) - Hawker Centre * Recommendations: Laksa, O'chien, Fried Chai Tow Kway, Sar Hor Fun, Char Koay Teow, Fried Chicken (at Keat Seng corner Kopi Tiam)---Chowrasta Market Area (Morning)*** Kedai Kopi Baru (Kopi Tiam) - Jalan Kuala Kangsar & Jalan Chowrasta junction    * Recommendations: Hokkien Mee, Wan Tan Mee, Sar Hor Fun, Curry Mee, Chee Cheong Fun, Chee Cheong Chok* Kedai Kopi Soon Yuen (Kopi Tiam) - Jalan Kuala Kangsar (opposite Kedai Kopi Baru)    * Recommendations: Koay Teow Thng, Chee Cheong Fun, Wan Tan Mee, Curry Mee---FoodHub By You & Me (7.30am-10pm Closed Fri) - Food Court * Recommendations: Tong Seng Chicken Rice, Ah Ma Char Koay Teow, Lam Mee, Mee Hoon Kuih, Mee Suah Kor, Lor Mee, Koay Teow Thng, Thong Sui, Wat Tan Hor, Fried Chicken---Genting Cafe (Morning-Afternoon) - Kopi Tiam * Recommendations: Chee Cheong Fun, Assam Laksa, Curry Mee, Char Koay Teow, Pasembur, Thai Braised Trotter Rice (Closed Wed)---Goodall Food Court (Night) (Closed Tue) - Food Court * Recommendations: Fried Rice, Char Koay Teow, Curry Mee, BBQ Chicken Wings, Popiah, Pie Tee, Claypot Chicken Rice---JJ Garden Food Court (7am-10pm Closed Tue) - Food Court ---Kafe Kheng Pin (7am-1.30pm Closed Mon & Tue) - KT* Recommendations: Chicken Rice, Lor Bak, CKT, WTM---Kedai Kopi New Cathay (Morning) (Closed Sun) - KT* Recommendations: Koay Chiap, Sar Hor Fun, Indian Apom, Air Itam Curry Mee, WTM, Lam Mee, Chicken Rice---Khoon Hiang Cafe (9.30am-3.30am Closed Wed) - KT* Recommendations: 328 CKT, Lam Mee, HKM, WTM, Oyster Noodles, Economy Rice---Kimberley Street Night Hawkers (5pm-11pm) - HC* Recommendations: Crab Meat CKT (Bee Hooi Cafe Garden), Sar Hor Fun, Ee Fu Mee, Tai Lok Mee (Bee Hooi), Economy CBH, KTT (Ah Hai & Super Star), Koay Chiap, Thong Sui ---Lee Huat Cafe (Morning) - KT* Recommendations: O'kua Moi, Curry Mee, Sar Hor Fun, Chicken Feet Lor Mee, HKM, WTM---Mandarin Cafe (Morning-Night) - KT* Recommendations: KTT, CKK, HKM (morning stalls), Nyonya Kuih (back-to-back with Genting KT)  ---MS Food Court (7.30am-12pm Closed Sun) - FC* Recommendations: Lam Mee, Nasi Lemak, Kimberley's Wat Tan Hor, Chee Cheong Fun, HKM, Lor Mee, Mr Kek's Pastries---New Lane (Night) - HC* Offers various hawker food stalls, including CKT---New World Park Food Court (10am-11pm) - FC* Features former Swatow Lane hawkers. Famous Swatow Lane Ice Kachang relocated to the front shop (formerly Old Town White Coffee)---Padang Kota Lama Food Court (Fort Cornwallis Food Court) (11am-8pm Closed Sun) - FC* Recommendations: Hameed Mee Sotong, Hailam Western Corner, Coconut Milk Shake, Nasi Melayu with Black Pomfret",Yap Guan Chiang Penang,
33,Peranakan Restaurants,"Peranakan food fans, check out these restaurants! Winn's Cafe (No.38, Jalan Cantonment, Pulau Tikus, 10350 Pg, 019-451 1631) opens 11am-3pm & 6pm-10pm (closed Sundays). Baba Phang (No.17, Jalan Sri Bahari, 10050 Pg, 014-741 9839) serves 11:30am-3pm & 6pm-10pm (closed Wednesdays). Ceki Nyonya Restaurant (No.11-A, Jalan Sri Bahari, 10050 Pg, 011-1051 7976) is open 11:30am-3pm & 5:30pm-10pm (closed Tuesdays). Nyonya Breeze Desire (No.3A-1-7, Straits Quay, Jalan Seri Tanjung Pinang, 10470 Tanjung Tokong, Pg, 04-8999 0581) has lunch 11:30am-2:30pm & dinner 5:30pm-9pm. Richard Rivalee Nyonya Restaurant (No.62 & 64, Lorong Macalister, 10400 Pg, 04-227 4888) tempts with their menu 11:30am-2:30pm & 6pm-9:30pm (closed Tuesdays). Nyonya Willow (No.72-1-3, Arena Curve, Jalan Mahsuri, Bandar Sunway Tunas, Bayan Lepas. 11900 Pg, 012-773 7573) opens 11:45am-2pm & 6pm-9pm (closed Mondays). Must-tries include nasi ulam (fragrant rice with herbs), perut ikan (fish belly in gravy), gulai tumis ikan (fish curry), too kar chor (deep-fried pork intestines), or kari kapitan (spicy chicken curry). Many restaurants offer set menus and daily specials, so ask the staff for recommendations!",Yap Guan Chiang Penang,
34,"Favourite Ipoh Eats: Kopi Tiam, Hawker Centers and Food Courts","Foodies, Ipoh has you covered! Start your day at Thean Chun or Kong Heng (No.73, Jalan Bandar Timah) for their famous Kai See Hor Fun and Kong Heng's Popiah. Don't miss the Satay in the lane between them! For aromatic White Coffee and Kaya Toast, head to Sin Yoon Loong (No.15-A, Jalan Bandar Timah) or Nam Heong (No.2, Jalan Bandar Timah) - Nam Heong also offers Egg Tarts, Roti Bakar, and hawker stalls with Kai See Hor Fun, Char Koay Teow, and Beef Noodle. Craving Curry Mee? Yee Fatt (No.39, Jalan Kampar) near Methodist Girls School serves Dry or Soupy versions, while Chuan Fatt (No.294, Jalan Pasir Puteh) offers theirs with fried chicken and other sides (spicy!). Nam Chau (No.54, Jalan Bandar Timah) is another great option, known for their dry version with yellow mee and koay teow combo. Xin Quan Fang (No.174, Jalan Sultan Iskandar) is famous for ""Ma Ta Liew"" (police station) curry mee with a delicious spicy sambal paste. In the afternoon, cool down with Soya Bean Milk and Tau Fu Fah at Funny Mountain (49, Jalan Theatre). Dinner options abound: Thong Sui Kai Night Stalls (Jalan Gereja) offer shaved ice desserts, jiu hu eng chye, see hum, and satay. Yong Suan Coffee Shop (No.2, Jalan Yang Kalsom) is known for Nasi Kandar Ayam Merah, while Paris Restaurant (No.164 & 166, Jalan Sultan Iskandar) serves Hakka Mee with yong tau foo, fish balls, and a special chili sauce. For an alternative Hakka Mee, try Restoran Cathay (No.17-A, Jalan Dato Tahwil Azhar). Craving Nga Choy Kai? Restaurant Cowan Street (No.44, Jalan Raja Ekram) is said to be better than the famous Lou Wong (opens at night only). Finally, end your day with Hor Hee, a Teochew fish noodle soup, at Hor Hee @ Loke Wooi Kee (No.28, Jalan Mustapha al-Bakei). Enjoy!",Yap Guan Chiang Ipoh,
35,Dim Sum in Ipoh,"Dim sum fans, listen up! Yoke Fook Moon (No.65-69, Leong Sin Nam Rd, 05-241 6589) boasts fluffy buns and a signature ""Tai Bao"". Ming Court (opposite, No.32-36 Leong Sin Nam Rd, 05-255 7134) offers classic dim sum with Siew Mai and Chee Cheong Fun recommendations. For Egg Tarts, Char Sio Bao, and unique Salted Egg Yolk buns with Pandan Lotus, head to Chooi Yue (Tingkat Tmn Ipoh 12, 016-534 5965). Finally, Kao Lee (No.48-50, Lengkok Canning, 05-546 5384) tempts with Lo Mai Fan, Woo Kok, Har Kuin, and creamy Caramel Egg Custard.",Yap Guan Chiang Ipoh,
36,Favourite Restaurants in Ipoh,"Foodies, Ipoh beckons! Tuck Kee (with air-cond) at No.1 Persiaran Tokong (05-254 1906) serves Smoked Duck, Roasted Duck/Chicken/Char Siu/Siu Cheong, KwaI Fah Egg, and Fried Egg Noodles with Far Sang Woo dessert. Tuck Kee (without air-cond) at No.61 Jalan Yau Tet Shin (05-253 7513) is famous for Wat Tan Hor, Yuet Kong Hor, Boiled Octopus with Garlic Oil, and Taugeh. For seafood, Kedai Makanan Rasa Lain (No.69 Persiaran Medan Bercham 2, 012-485 3085) tempts with Claypot Crabs, Steamed Lala, Claypot Cheese Prawns, and Sai Toh Fish Balls. Ipoh Restaurant (formerly Mun Thin) at No.33 Jalan Masjid (05-254 0037) offers Bao Siu Yok, Ching Lung Choy with Ngah Choy, Kwai Fei Tau Fu, and Braised Pork Knuckle. Craving Chinese classics? Mun Choong (No.511-517 Jalan Pasir Puteh, 05-321 0320/2815) serves starters, Ginger Chicken, Har Lok, Steamed Beancurd, and Mixed Vegetables. For more options, Overseas Restaurant (No.57-65 Jalan Seenivasagam, 05-253 8005/1970) boasts Char Siu, Claypot Braised Pork Belly, Brinjals with Fish Paste, and Cod Fish, while Soon Fatt (No.42 Jalan Seenivasagam, 05-243 6864) specializes in Pork Knuckle with Mustard Green in a spicy and sour gravy.",Yap Guan Chiang Ipoh,
